product_id,product_name_y,description,,,
1,Apple iPhone 13,"The Apple iPhone 13 is Apple's latest smartphone, featuring advanced technology and sleek design, perfect for staying connected and capturing life's moments.",,,
2,Samsung Galaxy S21,"The Samsung Galaxy S21 by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
3,Lenovo Yoga Laptop,"The Lenovo Yoga Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
4,HP Pavilion Laptop,"The HP Pavilion Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
5,Nike Running Shoes,"The Nike Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
6,Adidas Sneakers,"The Adidas Sneakers is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
7,Sony WH-1000XM4 Headphones,"The Sony WH-1000XM4 Headphones is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
8,Amazon Echo Dot,"The Amazon Echo Dot is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
9,GoPro HERO9,"The GoPro HERO9 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
10,Puma Sports Jacket,"The Puma Sports Jacket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
11,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
12,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
13,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
14,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
15,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
16,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
17,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
18,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
19,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
20,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
21,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
22,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
23,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
24,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
25,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
26,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
27,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
28,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
29,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
30,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
31,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
32,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
33,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
34,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
35,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
36,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
37,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
38,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
39,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
40,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
41,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
42,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
43,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
44,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
45,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
46,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
47,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
48,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
49,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
50,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
51,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
52,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
53,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
54,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
55,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
56,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
57,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
58,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
59,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
60,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
61,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
62,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
63,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
64,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
65,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
66,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
67,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
68,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
69,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
70,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
71,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
72,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
73,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
74,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
75,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
76,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
77,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
78,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
79,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
80,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
81,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
82,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
83,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
84,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
85,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
86,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
87,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
88,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
89,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
90,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
91,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
92,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
93,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
94,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
95,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
96,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
97,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
98,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
99,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
100,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
101,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
102,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
103,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
104,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
105,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
106,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
107,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
108,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
109,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
110,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
111,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
112,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
113,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
114,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
115,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
116,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
117,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
118,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
119,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
120,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
121,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
122,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
123,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
124,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
125,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
126,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
127,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
128,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
129,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
130,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
131,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
132,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
133,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
134,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
135,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
136,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
137,Microsoft Surface Pro,"The Microsoft Surface Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
138,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
139,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
140,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
141,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
142,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
143,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
144,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
145,Microsoft Surface Pro,"The Microsoft Surface Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
146,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
147,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
148,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
149,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
150,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
151,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
152,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
153,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
154,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
155,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
156,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
157,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
158,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
159,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
160,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
161,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
162,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
163,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
164,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
165,Apple MacBook Pro,"The Apple MacBook Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
166,Fitbit Charge 4,"The Fitbit Charge 4 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
167,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
168,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
169,Roku Streaming Stick,"The Roku Streaming Stick is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
170,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
171,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
172,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
173,Adidas Sports Bag,"The Adidas Sports Bag is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
174,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
175,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
176,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
177,Reebok Running Shoes,"The Reebok Running Shoes are designed for comfort and performance, making them perfect for athletes and fitness enthusiasts.",,,
178,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
179,Google Nest Hub,"The Google Nest Hub is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
180,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
181,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
182,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
183,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
184,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
185,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
186,Samsung Galaxy Tab,"The Samsung Galaxy Tab by Samsung offers cutting-edge features and performance, ideal for those who want a high-end smartphone experience.",,,
187,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
188,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
189,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
190,Canon EOS M50,"The Canon EOS M50 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
191,Dell Inspiron Laptop,"The Dell Inspiron Laptop is a powerful and versatile computer, suitable for both work and entertainment. It combines high performance with portability.",,,
192,Garmin Forerunner 45,"The Garmin Forerunner 45 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
193,Apple Watch Series 6,"The Apple Watch Series 6 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
194,Under Armour T-Shirt,"The Under Armour T-Shirt is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
195,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
196,Wilson Tennis Racket,"The Wilson Tennis Racket is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
197,Nike Yoga Mat,"The Nike Yoga Mat is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
198,Microsoft Surface Pro,"The Microsoft Surface Pro is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
199,Sony PlayStation 5,"The Sony PlayStation 5 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
200,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
201,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
202,Asics Gel-Kayano 27,"The Asics Gel-Kayano 27 is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
203,Puma Gym Gloves,"The Puma Gym Gloves is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
204,Bose QuietComfort 35,"The Bose QuietComfort 35 is a high-quality Electronics product, designed to meet all your needs and exceed expectations.",,,
205,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
206,New Balance Running Shorts,"The New Balance Running Shorts is a high-quality Sports product, designed to meet all your needs and exceed expectations.",,,
